time,vehicle_id,speed,CO2,CO,HC,NOx,PMx,fuel
1,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
2,vehicle_1,2.36,3815.82,149.89,0.77,1.70,0.08,1.64
3,vehicle_1,3.72,3574.17,124.28,0.65,1.55,0.07,1.54
4,vehicle_1,5.34,4410.91,119.02,0.65,1.90,0.09,1.90
5,vehicle_1,7.07,5282.70,115.41,0.65,2.27,0.10,2.27
6,vehicle_1,8.81,6072.76,112.52,0.66,2.59,0.12,2.61
7,vehicle_1,9.36,3453.73,52.99,0.32,1.34,0.05,1.48
8,vehicle_1,9.15,0.00,0.00,0.00,0.00,0.00,0.00
9,vehicle_1,9.41,2746.63,37.95,0.23,1.01,0.03,1.18
10,vehicle_1,9.54,2419.17,29.96,0.19,0.85,0.02,1.04
11,vehicle_1,9.07,0.00,0.00,0.00,0.00,0.00,0.00
12,vehicle_1,8.39,0.00,0.00,0.00,0.00,0.00,0.00
13,vehicle_1,7.71,0.00,0.00,0.00,0.00,0.00,0.00
14,vehicle_1,8.32,3431.71,63.21,0.37,1.36,0.05,1.48
15,vehicle_1,7.17,0.00,0.00,0.00,0.00,0.00,0.00
16,vehicle_1,7.73,3235.59,65.63,0.37,1.28,0.05,1.39
17,vehicle_1,7.68,0.00,0.00,0.00,0.00,0.00,0.00
18,vehicle_1,7.67,0.00,0.00,0.00,0.00,0.00,0.00
19,vehicle_1,5.01,0.00,0.00,0.00,0.00,0.00,0.00
20,vehicle_1,0.51,0.00,0.00,0.00,0.00,0.00,0.00
21,vehicle_1,0.03,0.00,0.00,0.00,0.00,0.00,0.00
22,vehicle_1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
24,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
25,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
26,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
27,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
28,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
29,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
30,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
31,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
32,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
33,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
34,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
35,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
36,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
37,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
38,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
39,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
40,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
41,vehicle_1,2.37,3826.15,149.96,0.77,1.71,0.08,1.64
42,vehicle_1,4.12,4106.56,129.51,0.69,1.79,0.08,1.77
43,vehicle_1,6.40,5907.52,136.39,0.76,2.58,0.12,2.54
44,vehicle_1,7.51,4274.95,89.56,0.51,1.78,0.08,1.84
45,vehicle_1,4.90,0.00,0.00,0.00,0.00,0.00,0.00
46,vehicle_1,5.39,2840.77,86.15,0.46,1.16,0.05,1.22
47,vehicle_1,3.70,0.00,0.00,0.00,0.00,0.00,0.00
48,vehicle_1,4.04,2578.97,99.32,0.51,1.07,0.04,1.11
49,vehicle_1,4.35,2568.47,94.61,0.49,1.06,0.04,1.10
50,vehicle_1,3.67,0.00,0.00,0.00,0.00,0.00,0.00
51,vehicle_1,4.55,3233.14,105.59,0.56,1.37,0.06,1.39
52,vehicle_1,3.69,0.00,0.00,0.00,0.00,0.00,0.00
53,vehicle_1,4.26,2844.32,101.61,0.53,1.19,0.05,1.22
54,vehicle_1,4.73,2773.06,93.53,0.49,1.15,0.05,1.19
55,vehicle_1,4.33,0.00,0.00,0.00,0.00,0.00,0.00
56,vehicle_1,3.79,0.00,0.00,0.00,0.00,0.00,0.00
57,vehicle_1,4.83,3500.14,107.13,0.57,1.49,0.07,1.50
58,vehicle_1,4.21,0.00,0.00,0.00,0.00,0.00,0.00
59,vehicle_1,3.97,0.00,0.00,0.00,0.00,0.00,0.00
60,vehicle_1,0.51,0.00,0.00,0.00,0.00,0.00,0.00
61,vehicle_1,0.20,0.00,0.00,0.00,0.00,0.00,0.00
62,vehicle_1,0.01,0.00,0.00,0.00,0.00,0.00,0.00
63,vehicle_1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
65,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
66,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
67,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
68,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
69,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
70,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
71,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
72,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
73,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
74,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
75,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
76,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
77,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
78,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
79,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
80,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
81,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
82,vehicle_1,1.70,3182.48,147.37,0.75,1.42,0.07,1.37
83,vehicle_1,3.50,3902.55,134.38,0.70,1.71,0.08,1.68
84,vehicle_1,4.17,2950.22,105.05,0.55,1.24,0.05,1.27
85,vehicle_1,4.33,2388.27,91.25,0.47,0.97,0.04,1.03
86,vehicle_1,3.74,0.00,0.00,0.00,0.00,0.00,0.00
87,vehicle_1,3.57,0.00,0.00,0.00,0.00,0.00,0.00
88,vehicle_1,4.30,3025.81,104.78,0.55,1.28,0.06,1.30
89,vehicle_1,4.08,0.00,0.00,0.00,0.00,0.00,0.00
90,vehicle_1,4.65,2879.08,96.89,0.51,1.20,0.05,1.24
91,vehicle_1,2.72,0.00,0.00,0.00,0.00,0.00,0.00
92,vehicle_1,0.34,0.00,0.00,0.00,0.00,0.00,0.00
93,vehicle_1,0.12,0.00,0.00,0.00,0.00,0.00,0.00
94,vehicle_1,0.04,0.00,0.00,0.00,0.00,0.00,0.00
95,vehicle_1,0.00,0.00,0.00,0.00,0.00,0.00,0.00
96,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
97,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
98,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
99,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
100,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
101,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
102,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
103,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
104,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
105,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
106,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
107,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
108,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
109,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
110,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
111,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
112,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
113,vehicle_1,0.00,2624.72,164.78,0.81,1.20,0.07,1.13
114,vehicle_1,2.59,4091.16,151.98,0.79,1.83,0.09,1.76
115,vehicle_1,4.70,4779.41,135.23,0.73,2.09,0.10,2.05
116,vehicle_1,4.30,0.00,0.00,0.00,0.00,0.00,0.00
117,vehicle_1,4.71,2692.75,92.19,0.48,1.11,0.04,1.16
118,vehicle_1,4.28,0.00,0.00,0.00,0.00,0.00,0.00
119,vehicle_1,4.81,2854.62,94.13,0.49,1.18,0.05,1.23
120,vehicle_1,6.39,4743.41,112.52,0.62,2.03,0.09,2.04
121,vehicle_1,5.34,0.00,0.00,0.00,0.00,0.00,0.00
122,vehicle_1,7.01,5143.89,113.30,0.64,2.20,0.10,2.21
123,vehicle_1,8.90,6473.39,119.83,0.70,2.78,0.13,2.78
124,vehicle_1,10.75,7331.50,119.95,0.72,3.14,0.15,3.15
125,vehicle_1,12.22,6896.34,99.11,0.62,2.90,0.13,2.96
126,vehicle_1,13.34,6198.59,76.89,0.50,2.54,0.11,2.66
